family,genus,species,region,location,date,tank_id,fish_per_tank,mean_weight_kg,sampling_interval_h,mean_T,mean_S,mean_ph,exc_rate_umol_h,method,trophic_level,level_troph,aspect_ratio,level_ar,elongation,level_elon,ril
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh1,3,0.2027,73.27,25,36.5,8.18,5.476954,double,3.18,species,1.13,species,5.3,species,0.99
Scorpaenidae,Dendrochirus,Dendrochirus zebra,Australia,Heron Island,Apr-14,Tk1,1,0.053,97.25,25,36.5,8.18,1.79564,double,4,species,1.04,species,2.67,species,0.98
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh2,2,0.4205,73.32,25,36.5,8.18,6.118275,double,3.18,species,1.13,species,5.3,species,0.99
Pinguipedidae,Parapercis,Parapercis queenslandica,Australia,Heron Island,Apr-14,Sa1,1,0.1754,97.34,25,36.5,8.18,2.338082,double,3.63,genus,1.32,genus,5.24,genus,0.73
Pseudochromidae,Ogilbyina,Ogilbyina queenslandiae,Australia,Heron Island,Apr-14,Db1,1,0.012,48.85,25,36.5,8.18,0.22764,double,3.56,family,0.78,species,2.76,species,1.57
Pinguipedidae,Parapercis,Parapercis queenslandica,Australia,Heron Island,Apr-14,Sa2,1,0.06,73.83,25,36.5,8.18,1.071,double,3.63,genus,1.32,genus,5.24,genus,0.73
Serranidae,Epinephelus,Epinephelus quoyanus,Australia,Heron Island,Apr-14,LfR1,1,0.042,48.83,25,36.5,8.18,1.3209,double,3.64,species,1.33,species,2.94,species,1.21
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh3,3,0.218,90.21,25,36.5,8.18,2.75334,double,3.18,species,1.13,species,5.3,species,0.99
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh4,2,0.1675,90.36,25,36.5,8.18,2.62305,double,3.18,species,1.13,species,5.3,species,0.99
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh5,2,0.1935,46.25,25,36.5,8.18,6.53256,double,3.18,species,1.13,species,5.3,species,0.99
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE1,2,0.415,73.95,25,36.5,8.18,15.035449999999996,double,3.77,species,2.12,species,2.85,species,1.29
Lutjanidae,Lutjanus,Lutjanus carponotatus,Australia,Heron Island,Apr-14,SpF1,1,0.328,76.45,25,36.5,8.18,12.38528,double,4.02,species,2.04,species,2.64,species,0.96
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE2,2,0.591,78.57,25,36.5,8.18,6.12867,double,3.77,species,2.12,species,2.85,species,1.29
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE3,1,0.404,78.84,25,36.5,8.18,9.58288,double,3.77,species,2.12,species,2.85,species,1.29
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE4,1,0.535,22.28,25,36.5,8.18,12.7758,double,3.77,species,2.12,species,2.85,species,1.29
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE5,1,0.828,69.01,25,36.5,8.18,8.503559999999998,double,3.77,species,2.12,species,2.85,species,1.29
Lethrinidae,Gymnocranius,Gymnocranius audleyi,Australia,Heron Island,Apr-14,BeS1,1,0.354,76.49,25,36.5,8.18,5.77728,double,3.4,species,1.34,species,3.06,species,1.38
Lethrinidae,Gymnocranius,Gymnocranius audleyi,Australia,Heron Island,Apr-14,BeS2,1,0.532,73.65,25,36.5,8.18,9.08124,double,3.4,species,1.34,species,3.06,species,1.38
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR1,1,0.395,77.45,25,36.5,8.18,3.2153000000000005,double,3.85,species,1.56,species,3.12,species,1.18
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR2,1,0.355,73.16,25,36.5,8.18,7.74255,double,3.85,species,1.56,species,3.12,species,1.18
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR3,1,0.355,74.51,25,36.5,8.18,21.7047,double,3.85,species,1.56,species,3.12,species,1.18
Serranidae,Plectropomus,Plectropomus leopardus,Australia,Heron Island,Apr-14,LCg1,1,0.865,69.02,25,36.5,8.18,14.185999999999998,double,4.41,species,1.6,species,3.33,species,0.82
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR4,1,0.075,76.28,25,36.5,8.18,1.16775,double,3.85,species,1.56,species,3.12,species,1.18
Caesionidae,Caesio,Caesio cuning,Australia,Heron Island,Apr-14,Fu1,1,0.455,48.83,25,36.5,8.18,10.3376,double,3.4,species,3.32,species,2.43,species,1.44
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR5,1,0.283,69.05,25,36.5,8.18,6.834449999999999,double,3.85,species,1.56,species,3.12,species,1.18
Serranidae,Plectropomus,Plectropomus leopardus,Australia,Heron Island,Apr-14,LCg2,2,1.65,48.9,25,36.5,8.18,10.3455,double,4.41,species,1.6,species,3.33,species,0.82
Lethrinidae,Gymnocranius,Gymnocranius audleyi,Australia,Heron Island,Apr-14,BeS3,2,0.317,73.71,25,36.5,8.18,3.3728800000000003,double,3.4,species,1.34,species,3.06,species,1.38
Lutjanidae,Lutjanus,Lutjanus adetii,Australia,Heron Island,Apr-14,Hu1,1,0.555,73.16,25,36.5,8.18,15.745350000000002,double,4.01,species,2.62,species,2.53,species,1
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE6,3,0.5223,73.4,25,36.5,8.18,14.284905,double,3.77,species,2.12,species,2.85,species,1.29
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE7,1,1.16,69,25,36.5,8.18,52.2812,double,3.77,species,2.12,species,2.85,species,1.29
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE8,2,1.204,73.56,25,36.5,8.18,17.77104,double,3.77,species,2.12,species,2.85,species,1.29
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE9,1,0.886,69.02,25,36.5,8.18,15.88598,double,3.77,species,2.12,species,2.85,species,1.29
Serranidae,Plectropomus,Plectropomus leopardus,Australia,Heron Island,Apr-14,LCg3,1,2.8,73.51,25,36.5,8.18,43.4,double,4.41,species,1.6,species,3.33,species,0.82
Lutjanidae,Lutjanus,Lutjanus adetii,Australia,Heron Island,Apr-14,Hu2,2,0.4885,73.28,25,36.5,8.18,19.681665,double,4.01,species,2.62,species,2.53,species,1
Pseudochromidae,Ogilbyina,Ogilbyina queenslandiae,Australia,Heron Island,Apr-14,Db2,1,0.017,73.5,25,36.5,8.18,0.28220000000000006,double,3.56,family,0.78,species,2.76,species,1.57
Scorpaenidae,Scorpaenopsis,Scorpaenopsis diabolus,Australia,Heron Island,Apr-14,DSf2,1,0.0019,23.02,25,36.5,8.18,0.16953700000000002,double,4.2,species,1.44,species,2.53,species,1.06
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar1,1,0.85,89.75,23,35.1,8.09,11.0925,double,3.83,species,1.06,species,3.5,species,0.68
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar2,1,0.81,74.45,23,35.1,8.09,6.2532000000000005,double,3.83,species,1.06,species,3.5,species,0.68
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar3,1,0.84,74.77,23,35.1,8.09,5.5607999999999995,double,3.83,species,1.06,species,3.5,species,0.68
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar4,1,0.65,74.78,23,35.1,8.09,11.479,double,3.83,species,1.06,species,3.5,species,0.68
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar5,1,0.59,74.44,23,35.1,8.09,9.8589,double,3.83,species,1.06,species,3.5,species,0.68
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar6,1,1.01,74.43,23,35.1,8.09,13.1401,double,3.83,species,1.06,species,3.5,species,0.68
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp1,2,0.091,72.8,23,35.1,8.09,2.49249,double,3.8,species,2.21,species,2.77,species,1.02
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp2,2,0.124,72.61,23,35.1,8.09,2.63252,double,3.8,species,2.21,species,2.77,species,1.02
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp3,1,0.137,71.57,23,35.1,8.09,3.9771100000000006,double,3.8,species,2.21,species,2.77,species,1.02
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp4,2,0.11,95.02,23,35.1,8.09,3.0580000000000003,double,3.8,species,2.21,species,2.77,species,1.02
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-15,Sp1,1,0.145,94.96,23,35.1,8.09,4.9793,double,3.47,species,3.3,species,2.28,species,1.72
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp5,1,0.141,59.08,23,35.1,8.09,5.20149,double,3.8,species,2.21,species,2.77,species,1.02
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar7,1,0.7,74.79,23,35.1,8.09,13.817999999999998,double,3.83,species,1.06,species,3.5,species,0.68
Apogonidae,Ostorhinchus,Ostorhinchus limenus,Australia,Moreton Bay,May-15,Car1,1,0.025,40.65,23,35.1,8.09,0.8907500000000002,double,3.51,genus,1.71,species,2.77,species,1.42
