family,genus,species,L,H,AC,AR,M,B,N,total
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,0,89,10,0,1,0,0,100
Acanthuridae,Naso,Naso annulatus,7.5,5,87.5,0,0,0,0,100
Acanthuridae,Naso,Naso vlamingii,0,17.5,35,0,42.5,0,5,100
Acanthuridae,Zebrasoma,Zebrasoma velifer,96,0,4,0,0,0,0,100
Albulidae,Albula,Albula vulpes,0,50,35,10,5,0,0,100
Apogonidae,Apogon,Apogon limenus,0,100,0,0,0,0,0,100
Apogonidae,Ostorhinchus,Ostorhinchus novemfasciatus,0,98,2,0,0,0,0,100
Apogonidae,Pristiapogon,Pristiapogon exostigma,0,98,2,0,0,0,0,100
Apogonidae,Sphaeramia,Sphaeramia nematoptera,0,100,0,0,0,0,0,100
Apogonidae,Sphaeramia,Sphaeramia orbicularis,0,99.33333333,0.666666667,0,0,0,0,100
Balistidae,Rhinecanthus,Rhinecanthus verrucosus,0,0,1,0,99,0,0,100
Belonidae,Platybelone,Platybelone argalus argalus,10,50,30,7.5,0,2.5,0,100
Blenniidae,Blenny,Blenny sp.,13,7,80,0,0,0,0,100
Blenniidae,Petroscirtes,Petroscirtes breviceps,88,2,10,0,0,0,0,100
Blenniidae,Salarias,Salarias ceramensis,20,0,20,20,40,0,0,100
Bothidae/Paralichthyidae,Flounder,Flounder sp.,0,100,0,0,0,0,0,100
Caesionidae,Caesio,Caesio cuning,1.825,59.175,39,0,0,0,0,100
Chaetodontidae,Chaetodon,Chaetodon ephippium,5,0,1,4,90,0,0,100
Chaetodontidae,Chaetodon,Chaetodon lunulatus,0,0,3.333333333,0,96.66666667,0,0,100
Diodontidae,Tragulichthys,Tragulichthys jaculiferus,0,75,20,5,0,0,0,100
Echenidae,Echeneis,Echeneis naucrates,3,97,0,0,0,0,0,100
Gerreidae,Eucinostomus,Eucinostomus sp.,0,81.66666667,11.66666667,6.666666667,0,0,0,100
Gerreidae,Gerres,Gerres cinereus,3.5,82.75,2.5,11.25,0,0,0,100
Gobiidae,Amblygobius,Amblygobius phalaena,0,97.5,2.5,0,0,0,0,100
Gobiidae,Amblygobius,Amblygobius semicinctus,0,50,49,0,0,1,0,100
Gobiidae,Valenciennea,Valenciennea immaculata,6,14,80,0,0,0,0,100
Gobiidae,Valenciennea,Valenciennea longipinnis,0,0,50,0,49,1,0,100
Haemulidae,Haemulon,Haemulon flavolineatum,0,100,0,0,0,0,0,100
Haemulidae,Haemulon,Haemulon sp.,0,100,0,0,0,0,0,100
Haemulidae,Plectorhinchus,Plectorhinchus lineatus,0,98,2,0,0,0,0,100
Haemulidae,Plectorhinchus,Plectorhinchus picus,0,100,0,0,0,0,0,100
Holocentridae,Myripristis,Myripristis adusta,0,93,5,2,0,0,0,100
Holocentridae,Myripristis,Myripristis violacea,0,100,0,0,0,0,0,100
Holocentridae,Sargocentron,Sargocentron spiniferum,0,100,0,0,0,0,0,100
Labridae,Halichoeres,Halichoeres bivittatus,5.333333333,20,74.5,0.166666667,0,0,0,100
Labridae,Halichoeres,Halichoeres hortulanus,0,0,15,15,70,0,0,100
