Family,Species,Sample ID,Composition,End point titration,Double titration,Ratio
Lethrinidae,Lethrinus atkinsoni,EMP/B-P4,"HMC, ARA, ACMC",0.0647,0.0567,1.141093474
Lethrinidae,Lethrinus atkinsoni,EMP/B-P3,"HMC, ARA, ACMC",0.1128,0.106,1.064150943
Lethrinidae,Lethrinus atkinsoni,EMP/B-P2,"HMC, ARA, ACMC",0.0858,0.07905,1.085388994
Lethrinidae,Lethrinus atkinsoni,EMP/B-P1,"HMC, ARA, ACMC",0.0545,0.0492,1.107723577
Serranidae,Cephalopholis cyanostigma,CM/A-P4,HMC,0.2692,0.25815,1.042804571
Serranidae,Cephalopholis cyanostigma,CM/A-P3,HMC,0.1676,0.15678,1.069013905
Serranidae,Cephalopholis cyanostigma,CM/A-P2,HMC,0.2373,0.225315,1.053192198
Serranidae,Cephalopholis cyanostigma,CM/A-P1,HMC,0.2124,0.200535,1.059166729
Lutjanidae,Lutjanus fulvus,SN/C-G-P4,HMC,0.0968,0.08874,1.090827135
Lutjanidae,Lutjanus fulvus,SN/C-G-P3,HMC,0.1254,0.116975,1.072023937
Lutjanidae,Lutjanus fulvus,SN/C-G-P2,HMC,0.1644,0.1542,1.06614786
Lutjanidae,Lutjanus fulvus,SN/C-G-P1,HMC,0.1382,0.12944,1.067676143
