model,fixed,random,elpd_diff,se_diff,looic,se_looic
m9_fam_caco3,log(M) + log(RIL) + T + sqrt(AR),family,0,0,485.11,36.03
m17_fam_caco3,log(M) + log(RIL) + T + sqrt(AR) + sqrt(ST),family,-0.29,1.19,485.7,36.69
m5_fam_caco3,log(M) + log(RIL) + T,family,-1.43,2.43,487.96,35.15
m13_fam_caco3,log(M) + log(RIL) + T + sqrt(ST),family,-1.99,2.64,489.09,35.89
m15_fam_caco3,log(M) + log(RIL) + sqrt(AR) + sqrt(ST),family,-2.64,2.88,490.38,35.03
m6_fam_caco3,log(M) + log(RIL) + sqrt(AR),family,-2.88,3.13,490.87,33.6
m3_fam_caco3,log(M) + log(RIL),family,-3.14,3.93,491.38,33.36
m11_fam_caco3,log(M) + log(RIL) + sqrt(ST),family,-3.35,3.79,491.82,34.65
m10_fam_caco3,log(M) + S + T + sqrt(AR),family,-5.34,4.15,495.8,35.35
m18_fam_caco3,log(M) + S + T + sqrt(AR) + sqrt(ST),family,-5.57,4.31,496.26,36.12
m16_fam_caco3,log(M) + S + sqrt(AR) + sqrt(ST),family,-5.84,5.13,496.79,35.48
m8_fam_caco3,log(M) + S + sqrt(AR),family,-6.01,5.09,497.14,34.09
m2_fam_caco3,log(M),family,-6.62,5.09,498.34,33.74
m7_fam_caco3,log(M) + S + T,family,-7.06,4.97,499.24,34.43
m4_fam_caco3,log(M) + S,family,-7.27,5.59,499.65,33.59
m12_fam_caco3,log(M) + S + sqrt(ST),family,-7.42,5.62,499.94,34.82
m14_fam_caco3,log(M) + S + T + sqrt(ST),family,-7.84,5.09,500.79,35.18
m6_caco3,log(M) + log(RIL) + sqrt(AR),-,-17.5,10.06,520.11,33.78
m3_caco3,log(M) + log(RIL),-,-18.27,10.11,521.65,33.2
m15_caco3,log(M) + log(RIL) + sqrt(AR) + sqrt(ST),-,-18.44,9.94,521.99,35.14
m11_caco3,log(M) + log(RIL) + sqrt(ST),-,-19.53,10.01,524.16,33.92
m5_caco3,log(M) + log(RIL) + T,-,-19.72,10.13,524.55,33.05
m9_caco3,log(M) + log(RIL) + T + sqrt(AR),-,-19.77,10.22,524.66,34.76
m8_caco3,log(M) + S + sqrt(AR),-,-20.3,10.77,525.71,34.4
m17_caco3,log(M) + log(RIL) + T + sqrt(AR) + sqrt(ST),-,-20.37,10.1,525.86,35.52
m4_caco3,log(M) + S,-,-20.8,10.82,526.72,34.27
m13_caco3,log(M) + log(RIL) + T + sqrt(ST),-,-20.85,10.03,526.81,33.71
m16_caco3,log(M) + S + sqrt(AR) + sqrt(ST),-,-20.99,10.75,527.09,35.43
m10_caco3,log(M) + S + T + sqrt(AR),-,-21.78,10.77,528.66,34.62
m12_caco3,log(M) + S + sqrt(ST),-,-21.82,10.82,528.74,35.08
m7_caco3,log(M) + S + T,-,-22.05,10.82,529.2,34.21
m18_caco3,log(M) + S + T + sqrt(AR) + sqrt(ST),-,-22.36,10.76,529.83,35.25
m14_caco3,log(M) + S + T + sqrt(ST),-,-22.92,10.84,530.95,34.79
m2_caco3,log(M),-,-28.73,11.9,542.58,36.04
m1_fam_caco3,Intercept only,family,-147.32,20.77,779.75,36.1
m1_caco3,Intercept only,-,-242.17,21.93,969.45,37.56
